Asset Name,latitude,longitude,Model,number_of_turbines,capacity_MW,total_capacity_MW,hub_height,Nearby_Station,Latitude,Longitude,Elevation,Distance,Land Class,Summer Jun-Jul,Pre-harvest Aug,Post-harvest/pre-snow Sep-Nov,Snow covered Dec-Feb,Spring Mar-May,years_of_real
Ardenville,49.549909,-113.42744,V90_3000,23,3,69,80,FORT MACLEOD AGCM,49.79,-113.38,978,26.92224919,Temperate or sub-polar grassland,0.1,0.1,0.01,0.005,0.05,2015-2024
Blackspring_Ridge,50.121786,-112.887341,V100_1800,166,1.8,299,80,BARONS AGCM,50.03,-113.22,967,25.90895036,Row Crops,0.2,0.2,0.02,0.01,0.03,2015-2024
Blue_Trail_Wind,49.6682,-113.489,V90_3000,22,3,66,80,WATERTON PARK GATE,49.13,-113.81,1289,64.23202791,Temperate or sub-polar grassland,0.1,0.1,0.01,0.005,0.05,2015-2024
ARM2262_Castle_River,49.502897,-114.045012,V47_660,60,0.66,39.6,50,BEAVER MINES,49.47,-114.18,1257,10.44269999,Row Crops,0.2,0.2,0.02,0.01,0.03,2015-2024
Enel_Alberta_Castle_Rock_Wind_Farm,49.5811,-114,E70_2300,33,2.3,75.9,65,BEAVER MINES,49.47,-114.18,1257,17.95859355,Temperate or sub-polar grassland,0.2,0.2,0.02,0.01,0.03,2015-2024
Halkirk_Wind_Power_Facility,52.264644,-112.0584,V90_1800,83,1.8,150,80,ALLIANCE AGCM,52.32,-111.78,737,19.96889553,Row Crops,0.1,0.1,0.1,0.2,0.03,2015-2024 #-----
Summerview,49.607992,-113.77842,V80_1800,38,1.8,136.5,70,BEAVER MINES,49.47,-114.18,1257,32.86899626,Row Crops,0.2,0.2,0.02,0.01,0.03,2015-2024
Kettles_Hill_Wind,49.51181,-113.814772,V80_1800,35,1.8,63,80,BEAVER MINES,49.47,-114.18,1257,26.86621602,Row Crops,0.2,0.2,0.02,0.01,0.03,2015-2024
Ghost_Pine,51.902276,-113.361143,GE1.5_SLE,51,1.5,81.6,80,THREE HILLS,51.77,-113.21,857,18.03172298,Row Crops,0.2,0.2,0.02,0.01,0.03,2015-2024
Oldman_2_Wind_Farm,49.573425,-113.851811,SWT23_101,20,2.3,46,80,BEAVER MINES,49.47,-114.18,1257,26.40009638,Row Crops,0.2,0.2,0.02,0.01,0.03,2015-2024
Magrath,49.387693,-112.951053,GE1.5_SLE,20,1.5,30,105,BLOOD TRIBE AGDM,49.57,-113.05,980,21.50655007,Small Grains,0.15,0.15,0.02,0.01,0.03,2019-2024
Suncor_Chin_Chute,49.683191,-112.317691,GE1.5_SLE,20,1.5,30,105,BARNWELL AGDM,49.8,-112.3,824.2,13.05440131,Pasture,0.15,0.15,0.02,0.01,0.03,2015-2024
Enmax_Taber,49.741,-111.968,E70_2300,37,2.3,85.1,85,WRENTHAM AGDM,49.5,-112.12,943.9,28.96739256,Row Crops,0.2,0.2,0.02,0.01,0.03,2015-2024
